Gene	sgRNA	eff
ADRA1B	ADRA1B_m159343926	1
ADRA1B	ADRA1B_m159343934	1
ADRA1B	ADRA1B_m159343996	1
ADRA1B	ADRA1B_m159344001	1
ADRA1B	ADRA1B_m159344006	1
ADRA1B	ADRA1B_m159344028	1
ADRA1B	ADRA1B_p159343905	1
ADRA1B	ADRA1B_p159343912	1
ADRA1B	ADRA1B_p159343940	1
ADRB1	ADRB1_m115803922	1
ADRB1	ADRB1_m115803930	1
ADRB1	ADRB1_m115803938	1
ADRB1	ADRB1_m115803996	1
ADRB1	ADRB1_m115804005	1
ADRB1	ADRB1_m115804012	1
ADRB1	ADRB1_m115804041	1
ADRB1	ADRB1_m115804047	1
ADRB1	ADRB1_p115803878	1
ADRB1	ADRB1_p115803909	1
ADRB2	ADRB2_m148206406	1
ADRB2	ADRB2_m148206447	1
ADRB2	ADRB2_p148206408	1
ADRB2	ADRB2_p148206418	1
ADRB2	ADRB2_p148206432	1
ADRB2	ADRB2_p148206450	1
ADRB2	ADRB2_p148206455	1
ADRB2	ADRB2_p148206462	1
ADRB2	ADRB2_p148206467	1
ADRB2	ADRB2_p148206474	1
ADRB3	ADRB3_m37823829	1
ADRB3	ADRB3_m37823842	1
ADRB3	ADRB3_m37823867	1
ADRB3	ADRB3_m37823894	1
ADRB3	ADRB3_p37823813	1
ADRB3	ADRB3_p37823900	1
ADRB3	ADRB3_p37823908	1
ADRB3	ADRB3_p37823913	1
ADRB3	ADRB3_p37823952	1
ADRB3	ADRB3_p37823958	1
ADRBK1	ADRBK1_m67034181	1
ADRBK1	ADRBK1_m67034219	1
ADRBK1	ADRBK1_m67034242	1
ADRBK1	ADRBK1_m67034255	1
ADRBK1	ADRBK1_p67034160	1
ADRBK1	ADRBK1_p67034166	1
ADRBK1	ADRBK1_p67034172	1
ADRBK1	ADRBK1_p67034193	1
ADRBK1	ADRBK1_p67034199	1
ADRBK1	ADRBK1_p67034261	1
ADRBK2	ADRBK2_m25961078	1
